english,japanese,pos,en_sentence,jp_sentence
perfect,完全な；完璧な,形容詞,To be perfect she lacked just one defect.,完璧であるには、欠点だけが欠けていた。
perfectly,完璧に,副詞,Your conduct is perfectly legal.,君の行動は全く合法的だ。
perhaps,ひょっとすると；おそらく,副詞,"Now that you know the truth, perhaps you'll feel better.",もう真実を知ったのだから、多分気分がよくなるでしょう。
person,人,名詞,The last person I told my idea to thought I was nuts.,僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。
personal,個人的な,形容詞,Do you know how to use a personal computer?,貴方はパソコンの使い方を知っていますか。
personally,個人的に；自ら,副詞,The president conducted us personally to his office.,大統領自ら我々を執務室に案内してくれた。
phone,電話をかける,動詞,"The phone is ringing. ""I'll get it.""",「電話が鳴っているよ。」　「私が出ます。」
photo,写真,名詞,It is important that you attach your photo to the application form.,君の写真を申込書に添付することを忘れないでね。
photograph,写真を撮る,動詞,Did you have your photograph taken for the driver's license?,運転免許証用の写真をとってもらいましたか。
pick,選ぶ,動詞,I have a bone to pick with you.,あなたに不満があります。
picture,絵；写真；映像,名詞,The picture you are looking at is a copy of a Picasso.,君が見ている絵はピカソの複製だ。
piece,一かけら；破片,名詞,I want a piece of candy.,飴がほしい。
place,置く；設置する,動詞,"America is a lovely place to be, if you are here to earn money.",お金を稼ぎたいならアメリカが一番だ。
plan,計画；段取り,名詞,Do you plan to go abroad?,君は海外へ行くつもりですか。
plant,植物,名詞,Our company is planning to build a new chemical plant in Russia.,私たちの会社は新しい化学工場をロシアに建設する計画をしている。
player,選手；プレーヤー,名詞,Tom will become a good soccer player some day.,トムはいつかよいサッカー選手になるでしょう。
please,どうぞ；どうか；ぜひ,副詞,"If you see a mistake, then please correct it.",もし間違いを見つけたら訂正してください。
plenty,たくさん,代名詞,You had plenty of time.,時間はたっぷりあった。
plus,正数,前置詞,You will be paid a stable base salary plus commissions on sale.,あなたの給与は一定の基本給に販売手数料が加算されます。
police,警察,名詞,The police will get you to find the bullets.,警察はあなたに弾丸をみつけさせるでしょう。
poor,貧しい,形容詞,Your poor memory is due to poor listening habits.,君の記憶力が悪いのは人の話を聞く習慣がちゃんとできていないからだ。
pop,ポンとはじける；現れる；飛び出す,動詞,Last year's pop hit was set off by a serial TV drama.,去年のヒットした音楽は、みんな人気ドラマが絡んでいる。
position,位置,名詞,I understand your position perfectly.,君の立場は十分に理解している。
possibility,可能性,名詞,But the possibility seems unlikely.,でも可能性は低そうだね。
possible,可能な；可能性がある,形容詞,Is it possible to take a shuttle bus from the airport to the hotel?,空港からホテルまでシャトルバスを利用できますか。
possibly,考えようによっては；～かも知れない,副詞,Get up as early as you possibly can.,何とかして出来るだけ早く起きなさい。
pot,鍋；容器,名詞,Money will make the pot boil.,金は鍋を煮え立たせる。
pound,常用ポンド；16オンス，0.4536kgに相当,名詞,An ounce of practice is worth a pound of precept.,教訓よりも実行が大切。
power,権力；支配権,名詞,"With the power of imagination, we can even travel through space.",空想の力で、宇宙旅行も出来る。
powerful,強力な；効力のある,形容詞,Our team competed with a powerful rival.,我々のチームは強力なライバルと競った。
preparation,準備,名詞,How much money was saved in preparation for the summer vacation?,夏休みに備えてどれくらいお金をためたの。
prepare,準備する,動詞,You may as well prepare for your examination.,君は試験の準備をしたほうがよい。
present,プレゼント；贈り物 ,名詞,I would like to give him a present for his birthday.,彼の誕生日に贈り物をあげたいんです。
presentation,発表；プレゼンテーション,名詞,The company will hold a presentation of the new model tomorrow.,その会社はニューモデルの発表会を明日行う。
press,押す；押しつける,動詞,Don't press your opinions on me.,君の意見を押しつけないでくれ。
pretty,かわいい；すてきな,形容詞,"This looks pretty interesting, Hiroshi says.",「これはとてもおもしろそうだね」とひろしが言います。
price,値段をつける,動詞,The price of gold varies from day to day.,金の値段は日ごとに変わる。
prison,刑務所,名詞,There used to be a prison here.,ここには刑務所があった。
prisoner,囚人,名詞,The king ordered that the prisoner should be set free.,王様はその囚人を解放するように命じました。
probability,可能性；確率,名詞,There is very little probability of an agreement being reached.,協定が結ばれる可能性は極めて少ない。
probably,おそらく,副詞,That was probably what influenced their decision.,それで彼らの気が変わったのかも知れない。
problem,問題,名詞,There's a problem there that you don't see.,君の気付いていない問題がある。
program,計画；予定,名詞,Tell me about your program for the future.,君の未来計画について話してください。
promise,約束する,動詞,You must promise not to take the rope off.,君はそのロープをほどかないと約束しなさい。
proper,適切な,形容詞,You don't have proper dignity as chief of the section.,君は課長としての貫禄がないね。
properly,適切に,副詞,You've been properly led up the garden path.,君はまんまとだまされてきたのだよ。
protect,保護する,動詞,Sunglasses protect our eyes from the sun.,サングラスは日光から目を守ってくれる。
protection,保護,名詞,The protection circuit is built into the system.,そのシステム中には保護回路が組み込まれています。
public,公の；公的な,形容詞,I need to make an urgent call. Is there a public phone near here?,緊急の電話をしなくてはならないのですが、この近くに公衆電話がありますか。
pull,引く；引っ張る,動詞,"A whistle blew, and the boat slowly began to pull out of port.",汽笛が鳴って船はゆっくりと港から離れていった。
push,押しのける,動詞,"In case of an emergency, push this button.",緊急の場合は、このボタンを押しなさい。
put,置く,動詞,Any chance you know where I put my keys?,私はカギを置いたところなんか知りませんか。
quarter,4分の1,名詞,Corporate earnings in the first quarter improved sharply.,企業収益は第１四半期に大きく改善した。
question,質問する；疑問に思う,動詞,Do you really need to ask the question to know the answer?,その答えを知るのにあなたは本当にその質問をする必要があるのかしら。
quick,素早い；速い,形容詞,There's enough time for a quick snack.,急いで食事をするだけの時間はある。
quickly,速く；すぐに,副詞,Make sure that the complaints are dealt with as quickly as possible.,苦情は出来るだけ迅速に処理されるよう取り計らいなさい。
quiet,静かな,形容詞,Nara is a quiet and beautiful city.,奈良は静かで、きれいな町です。
quietly,静かに,副詞,Jim went into the room quietly lest he should wake the baby.,ジムは赤ん坊を起こさないように静かに部屋に入った。
quite,全く；かなり,副詞,"Well, the night is quite long, isn't it?",あぁまだ、宵の口だね。
race,競争，競争する,名詞,"Arriving at school, I found the race was over.",学校に着いたとき、競争は終わっていました。
radio,ラジオ,名詞,Will you give me your radio for my bicycle?,君のラジオを僕の自転車と取り替えっこしないか。
rain,雨,名詞,"Judging from the look of the sky, it may rain at any moment.",空模様から判断するといつ降り出すかもわからない。
raise,高める,動詞,The only useful answers are those that raise new questions.,有意義な回答とは、新たな疑問を生むようなそれである。
rate,速度；割合；比率,名詞,The income tax rate increases in proportion as your salary rises.,給与が増えるに比例して、所得税率もあがっていく。
rather,かなり；いくぶん；どちらかといえば；それどころか,副詞,That is rather unexpected.,それはいささか唐突だ。
reach,伸びる；及ぶ；届く；到着する，伸ばすこと；届く範囲,動詞,"I tried to reach you on the phone, but I was unable to get through.",君になんとか電話で連絡をとろうとしたのですが、駄目でした。
reader,読者,名詞,A careful reader would have noticed the mistake.,もっと注意深い読者だったら、誤りにきがついただろうに。
ready,用意のできた；～しがち；即座の,形容詞,You should be ready for the worst.,君は最悪の事態を覚悟しなくてはならない。
real,現実の；本物の,形容詞,What's your real purpose?,君の本当の目的は何だ。
reality,現実,名詞,I lost my sense of reality at that moment.,その瞬間、私は現実感を失った。
realize,気づく；理解する,動詞,The day will come when you will realize it.,君がそれを実現する日が来るだろう。
really,本当に；実に,副詞,"If you look at the lyrics, they don't really mean much.",歌詞を見てみれば、あまり意味が無いことに気付くでしょう。
reason,理由；原因；根拠,名詞,For some reason I feel more alive at night.,私はなぜか夜の方が元気だ。
reasonable,理性的な；合理的,形容詞,This letter is too long to have it translated at a reasonable price.,この手紙はながすぎて手ごろな値段で訳してもらえない。
reasonably,理性的に；合理的に,副詞,We can not reasonably ask more.,これ以上求められないのは当然だ。
recent,最近の,形容詞,Is it a recent picture?,それは最近の写真？
recently,最近；近年,副詞,It was only recently that she changed her mind.,つい最近になって初めて彼女は考えを変えた。
record,レコード,名詞,Please do not touch the record side.,記録面に手を触れないで下さい。
red,赤；血の色のような,形容詞,You ran a red light.,君は赤信号を無視して走りましたね。
relate,関係づける；関連する,動詞,I see no reason why he doesn't relate to the firm.,彼が会社になじめないとは理由が分からない。
relation,～に関する,名詞,What's your relation with him?,君と彼とはどういう間柄なのだ。
relationship,関係,名詞,We hope to establish a closer relationship between us.,私どもの関係がより緊密になることを願っております。
remember,思い出す,動詞,Do you remember seeing me before?,君は以前私にあったことを覚えていますか。
rent,家賃，賃借りする,動詞,You should pay your rent in advance.,君は部屋代を前もって払うべきだ。
reply,答える，返信,名詞,I don't know how to reply to that question.,何と答えていいかわかりません。
report,報告書； レポート,名詞,You have to report to the police at once.,君は、すぐ警察に出頭しなくてはならない。
reporter,報告書；記者；レポーター,名詞,The reporter shot questions at the politician.,記者は政治家に質問を浴びせた。
responsibility,責任,名詞,You have a responsibility to explain that behavior to me.,君はその行為について、僕に説明する義務がある。
responsible,責任がある；信頼できる,形容詞,You are responsible for what you do.,君は自分の行動に責任がある。
rest,休憩,名詞,I don't want to spend the rest of my life regretting it.,そのことを後悔しながら余生を送りたくない。
rich,金持ち；豊かな,形容詞,He is as rich as any man in this town.,彼はこの町で誰にも劣らず金持ちである。
rid,除去する；解放する,動詞,You must rid yourself of bad habits.,君は悪習をやめなければいけない。
ride,乗る，乗車,動詞,Can you ride a horse?,君は馬に乗る事が出来ますか。
right,右の；右に,形容詞,You really don't have the right priorities!,おまえってほんとに正しい優先順位がわかってないな。
ring,ベルやアラームの音が鳴る；響く,動詞,The church bell used to ring at three.,教会の鐘は３時に鳴ったものです。
rise,上がる；起立する，上昇,動詞,Interest rates will rise due to monetary tightening.,金融引き締めで金利が上昇するだろう。
river,川,名詞,The Sumida is not a good river for us to swim in any more.,隅田川はもはや泳ぐのに適した川ではありません。
road,道路,名詞,It's a long road with no curves.,曲り角のないのは長い道である。
rock,岩；石,名詞,Look out for rock slides.,岩崩れに気をつけて。
roll,転がる,動詞,Rock and roll was a creation of the young generation.,ロックンロールは若い世代の発明だった。
room,部屋,名詞,You must keep your room clean.,部屋をきれいにしておかなければいけません。
rough,大ざっぱな；おおよその,形容詞,We had a rough crossing on an old ferry.,我々は古いフェリーで渡ってひどく揺れた。
roughly,粗雑に；手荒く,副詞,These can be classified roughly into three types.,これらは３つのタイプに大別される。
round,丸い，円形,形容詞,Her eyes become round in surprise.,驚いて彼女は目を丸くした。
rule,規則；ルール；習慣，決定する,名詞,I make it a rule not to watch television after nine o'clock.,九時以降はテレビを見ないことにしている。
run,走る,動詞,Someday I'll run like the wind.,またいつか風のように走るんだ。
sad,悲しい,形容詞,This is such a sad story.,これは何とも悲しい物語です。
safe,安全な,形容詞,Your secret will be safe with me.,私は秘密を漏らしたりしません。
safety,安全,名詞,You should put safety before everything else.,何よりも安全を優先すべきだ。
sail,帆，航行する,動詞,The sail tightened in the strong wind.,強い風を受けて帆がぴんと張った。
same,同じ,限定詞,I can only wonder if this is the same for everyone else.,みんなもそうなのかな、と思うことくらいしかできない。
saturday,土曜日,名詞,Please come to my house next Saturday if you care to.,もしよければ、今度の土曜日にうちに遊びに来てください。
save,救う,動詞,In which folder did you save the file?,どのフォルダにファイルを保存しましたか。
say,言う；言葉を使う,動詞,They say love is blind.,「あばたもえくぼ」って言うからね。
scare,怖がらせる,動詞,Don't scare me like that!,脅かさないでよ。
science,科学,名詞,"In recent years, science has made remarkable progress.",近年科学は目覚しく進歩した。
scientific,科学的,形容詞,This theory was founded on a scientific basis.,この理論は科学的な基礎の上に立っていた。
scientist,科学者,名詞,The scientist insisted on proceeding with the research.,科学者はその研究を継続することを強く要求した。
sea,海,名詞,"Air travel is fast; sea travel is, however, restful.",空の旅は早いが海はおちつく。
seat,座席，着席させる,動詞,The paint on the seat on which you are sitting is still wet.,君が座っている腰掛けのペンキはまだ塗り立てだよ。
second,第二の,形容詞,Your second button is coming off.,君の二番目のボタンがとれそうだよ。
secondary,二番目の；二次的な,形容詞,Social relationships are secondary to this business.,社会的な関わり合いは、この仕事には二次的なのです。
secondly,第二に,副詞,secondly…,二つ目は、、、
secure,安全な，確保する；固定する,動詞,You are secure from danger here.,君はここなら安全だ。
security,安全,名詞,Germany adopted a social security system in the 1880's.,ドイツは１８８０年代に社会保障制度を採用した。
see,見る,動詞,It almost scared me not to see you online for a whole day.,丸一日オンラインで君を見ないなんてびっくりだよ。
seem,～のように見える；思われる,動詞,You seem an honest man.,君は正直者のようだ。
self,自己,名詞,She is her old self again.,彼女はまたもとの自分に戻った。
sell,売る,動詞,I will sell the boat in accordance with your orders.,君の命令にしたがって私はボートを売ろう。
send,送る；送信する,動詞,I told them to send me another ticket.,私は彼らにチケットをもう一枚送ってくれるように頼んだ。
sense,感覚，感じる；感知する,動詞,You have no sense of direction.,方向音痴なんだね。
serious,深刻な；真剣な；まじめな,形容詞,Let's have a serious talk about your future.,君の将来について真剣に話をしよう。
seriously,真剣に,副詞,My pet dog was seriously ill.,愛犬の病気は重かった。
servant,使用人,名詞,The Joneses pay their servant by the week.,ジョーンズ家では週給で召し使いに給料を支払っている。
serve,供給する；役立つ,動詞,We must always try to serve others.,我々は常に人に奉仕するように努めなければならない。
server,サーバー,名詞,The server was down.,サーバーがダウンしていました。
service,修理する；点検する,動詞,The bus service is not good between nine and ten.,九時台はバスの便はよくない。
set,セット；一揃え,名詞,Don't set your failure down to bad luck.,君は失敗を不運のせいにしてはいけない。
settle,定住する；落ち着く,動詞,Let us settle the matter without a third party.,間に人を入れずに解決しよう。
seven,七,数字,Make sure that you arrive at seven o'clock.,間違いなく７時に着くようにしてください。
seventeen,十七,数字,Helen is seventeen years old.,ヘレンは１７歳です。
seventy,七十,数字,The school was founded seventy years ago.,その学校は開校してから７０年になる。
several,いくつかの；それぞれの,限定詞,He came several times.,彼は数回来ました。
sex,性別,名詞,He doesn't want you to tell him about your sex life.,彼はあなたにあなたのセックスライフを語って欲しくないんだよ。
sexual,性的な,形容詞,Recent comics have too many violent and sexual scenes.,最近の漫画は暴力や性の描写が多すぎる。
shake,振る；震える；動揺させる，振動；震え,動詞,We felt the house shake a little.,家がすこし揺れるのを感じた。
shall,～すべきである；当然～だろう；～しましょうか,助動詞,You shall have a bicycle for your birthday.,誕生日には自転車をあげるよ。
shape,形，形作る,名詞,You're in better shape than I am.,君は僕より有利な立場にあるものね。
share,株；株券,名詞,You must share your jobs with others.,君は自分の仕事を他の人と分け合わねばならない。
she,彼女,代名詞,"Whatever I do, she says I can do better.",私が何をしようと彼女はもっとうまくできると言うんだ。
ship,船,名詞,"Which goes faster, a ship or a train?",汽船と汽車ではどちらが速く走りますか。
shirt,シャツ,名詞,Your shirt is torn. You better put on another shirt.,君のシャツは破れている。別のシャツを着た方がいい。
shoe,靴,名詞,What's your shoe size?,貴方の靴のサイズはいくつですか。
shop,店；商店,名詞,You'll find the shop between a bank and a school.,銀行と学校の間にその店があります。
short,短い；背が低い；不足して,名詞,A rabbit has long ears and a short tail.,ウサギには長い耳と短い尾がある。
shot,（ボールをゴールに）ける；投げ入れる；シュートする,動詞,"To our surprise, our son has suddenly shot up recently.",驚いたことに息子は最近すくすく背がのびてきた。
should,～べきである,助動詞,You should sleep.,眠った方がいいよ。
shoulder,肩,名詞,Could you cut it shoulder length?,肩までの長さでカットしてください。
shout,叫ぶ,動詞,Don't shout at the crying child. It only adds fuel to the fire.,泣いている子を怒鳴るな。火に油だから。
shut,閉じる；閉める，閉じた,動詞,The burglar shut the child in the closet.,強盗はその子供を押し入れに閉じ込めた。
sick,病気の,形容詞,I'm sick and tired of being sick and tired.,うんざりするのにももう疲れた。
side,側面,名詞,You'll see the bank on the left hand side of the hospital.,銀行は病院の左手にあります。
sight,見ること；視力；視野,名詞,You must not lose sight of your goal in life.,人生の目標を見失ってはいけない。
sign,署名する；合図する；契約する,動詞,To have doubts about oneself is the first sign of intelligence.,自分自身に疑問を持つことは良識の第一歩だ。
silly,ばかな,副詞,I need to ask you a silly question.,バカな質問があるんだ。
simple,簡単な；単純な,形容詞,I can't tell her now. It's not that simple anymore.,もう彼女には言えないよ。そんなに単純なことではなくなってきたからね。
simply,簡単に；単純に,副詞,Education does not consist simply in learning a lot of facts.,教育は単に多くの事実を学ぶことにあるわけでない。
since,～以来；～なので,前置詞,"I don't know how to demonstrate it, since it's too obvious!",こんなに明らかなことをわざわざどうやって説明したらいいのか分からない。
sing,歌う,動詞,Are you going to sing here?,君はここで歌うつもりですか。
singer,歌手,名詞,A bad cold caused the singer to lose his voice.,歌手は悪いかぜで声がでなかった。
single,たった一つの,形容詞,What you have said applies only to single women.,君が言ったことは独身女性にしかあてはまらない。
sir,あなたさま；～殿,名詞,"Tell me about yourself, please, Sir Anthony.",どうぞ、ご自分のことをお話し下さい、アンソニー卿。
sister,姉妹,名詞,How pretty your sister is!,君の妹はなんてかわいいんだろう。
sit,座る,動詞,You have only to sit here.,君はここに座っていさえすればいい。
situate,位置付ける,動詞,He was badly situated.,彼は苦境にあった。
situation,状況,名詞,The situation is worse than we believed.,状況は私たちが思っていたよりも悪い。
six,六,数字,The milkman came around at six every morning.,牛乳配達は毎朝６時にやってきた。
sixteen,十六,数字,I'll be sixteen years old next month.,私は来月16歳になります。
sixty,六十,数字,A minute has sixty seconds.,1分は60秒です。
size,大きさ；サイズ,名詞,Your book is double the size of mine.,君の本は私の本の２倍の大きさだ。
skin,皮膚,名詞,I was drenched to the skin because of the heavy rain.,強い雨のため私はずぶ濡れになった。
sky,空,名詞,The sky promises fair weather.,この空模様ではよい天気になりそうだ。
sleep,眠る,動詞,We can't sleep because of the noise.,うるさくて眠れないんです。
slight,わずかな，軽視,形容詞,We had a slight difference of opinion.,我々にはわずかな意見の相違があった。
slightly,わずかに,副詞,The festive mood was slightly spoiled by terrorist bombs.,テロリストの爆弾によって、祭気分はいささか消沈した。
slip,滑る，滑ること,動詞,"If you're not careful, you might slip and fall on the icy steps.",気を付けないと凍った階段で滑って転ぶよ。
slow,遅い；遅くなる,形容詞,Business is so slow these days.,近頃は景気が良くない。
slowly,ゆっくりと,副詞,The cows were moving very slowly through the long green grass.,牛は背の高い緑色の草の中をゆっくり動いていました。
small,小さい,形容詞,You may take either the big box or the small one.,君は大きい箱か小さい箱のどちらかをとっていいよ。
smell,におい，においを嗅ぐ；においがする,動詞,He'll be sure to smell a rat if I'm with you.,君といたら、彼はきっと感づくだろう。
smile,ほほえむ，笑顔,動詞,Your smile always makes me happy.,君の微笑みはいつも私を幸せにしてくれる。
smoke,喫煙,動詞,You had better not smoke while on duty.,勤務中はタバコを吸わない方がいいよ。
snow,雪，雪が降る,名詞,"Judging from the look of the sky, we may have snow tomorrow.",空模様から判断すると、明日は雪になるかもしれない。
soft,やわらかい；穏やかな,形容詞,Sweet scents are borne on soft breezes.,甘い香りがそよ風に乗ってくる。
some,いくらかの；ある；およそ,限定詞,For some reason I feel more alive at night.,私はなぜか夜の方が元気だ。
somebody,誰か,代名詞,It's a pity when somebody dies.,誰かが亡くなったときは悲しいものだよ。
somehow,どういうわけか；なんらかの方法で,副詞,I've got to get some money somehow to repay the bank loan.,銀行のローンを返すのに、どうしてもお金が必要です。
someone,誰か,代名詞,"Hold on, someone is knocking at my door.",待って。誰かが私のドアを叩きました。
something,何か,代名詞,It would be something I'd have to program.,それは私が調整しなければいけなかった何かだったんだろう。
sometimes,ときどき,副詞,There are sometimes blizzards in Kanazawa.,金沢では吹雪くことがある。
somewhere,どこかに,副詞,Haven't we met somewhere before? asked the student.,「以前にどこかで会ったことがありませんか」とその学生はたずねた。
son,息子,名詞,You need not have helped my son with his homework.,君は私の息子の宿題を手伝ってやらなくてもよかったのに。
song,歌,名詞,Hearing this song after so long really brings back the old times.,久々に聞いたこの曲。なつかしい。
soon,もうすぐ；早く,副詞,I may give up soon and just nap instead.,すぐに諦めて昼寝をするかも知れない。
sorry,すまないと思う；後悔している；気の毒に思う,感嘆詞,Why are you sorry for something you haven't done?,してもいないことをどうして謝るの？
sort,種類,名詞,That sort of thing can happen when you are in haste.,急いでいる時は、そんなことって起こるものです。
sound,音；音響,名詞,Without air there can be no wind or sound on the moon.,空気がないので月の上では風も音もないはずだ。
south,南；南の；南へ,形容詞,The road tends to the south at the next village.,街道は次の村で南へ向かう。
space,空間；間隔,名詞,"In the near future, space travel will no longer be just a dream.",近い将来宇宙旅行も夢ではない。
speak,話す,動詞,My mom doesn't speak English very well.,私の母はあまり英語が上手に話せない。
speaker,話す人；演説者,名詞,Each speaker was allotted five minutes.,各人五分ずつ話す時間が与えられた。
special,特別な,形容詞,"In case the shipment is delayed, we have special delay insurance.",荷物が遅れた場合、特別なＤ—Ｉ（連帯保険）がある。
specialist,専門家,名詞,The specialist predicts international tension will build up.,その専門家は国際緊張が高まっていくと予測している。
specialize,専門にする,動詞,I specialize in medieval history.,私は中世史を専攻している。
spend,使う；過ごす,動詞,I don't want to spend the rest of my life regretting it.,そのことを後悔しながら余生を送りたくない。
sport,スポーツ,名詞,The doctor advised me to take up some sport to stay in shape.,医者は私に健康のために何か運動をしたほうがいいですよと言いました。
spot,見つける,形容詞,The seaside is an ideal spot for the children to play.,海辺は子供たちが遊ぶのに理想的な場所だ。
spring,春,名詞,I took a cooking class last spring and learned to bake bread.,去年の春、料理教室に通って、パンの焼き方を覚えました。
square,正方形；四角,名詞,Could you tell me where I could go to get a square meal?,バランスが良くて栄養のある食物をどこで買えるか教えてくれませんか。
stage,舞台,名詞,Cutting school is the first stage of delinquency.,学校をさぼるのは非行の第一段階である。
stand,立つ,動詞,Are you just going to stand there all day?,そこに一日中ただ立っているつもりかい？
star,星,形容詞,Not a star was to be seen in the sky.,夜空には星一つ見えなかった。
stare,じっと見る,動詞,People shouldn't stare at foreigners.,外人をじっと見るべきではない。
start,始め；開始,名詞,You ought to be on time if you start now.,君は今出発をすれば、当然間に合うはずだ。
state,州,名詞,You must state the fact as it is.,君はその事実をありのまま述べなければならない。
statement,発言；陳述,名詞,Did you accept his statement as true?,君は彼のいったことが本当だと認めたのですか。
station,駅,名詞,You must be at the station by 5 o'clock.,君は５時までに駅に着かねばならない。
stay,滞在する,動詞,"I'm sorry, I can't stay long.",申し訳ないけど長居できないんですよ。
steal,盗む,動詞,Hunger compelled the boy to steal money from the cash register.,空腹のためにその少年はやむなくレジからお金を盗んだ。
step,階段；ステップ,名詞,Your success depends on whether you pass the STEP examination or not.,君の成功は英検の試験に合格するかどうかにかかっている。
stick,棒,名詞,You must stick to your promise.,君はあくまでも約束を守らなければならない。
still,まだ；それでも；なお,副詞,"Even though he apologized, I'm still furious.",謝罪はあったにせよ、私はまだ彼に腹を立てている。
stone,石,名詞,A rolling stone gathers no moss is a proverb.,「転がる石は苔をもつけず」はことわざである。
stop,止まる,動詞,You should make an effort to stop smoking.,君は禁煙するよう努力すべきだ。
storage,貯蔵；保管；保管場所,名詞,Tom carried two boxes into the storage room.,トムは箱を二つ収納室の中へ運んだ。
store,店,名詞,I have good news in store for you.,君のために良い知らせがある。
story,話；物語,名詞,He told me the story of his life.,彼は彼の人生の話を私にしてくれた。
straight,まっすぐな,形容詞,Go straight ahead until you reach the church.,教会に着くまでまっすぐ行きなさい。
strange,奇妙な,形容詞,Sometimes he can be a strange guy.,彼は時々変です。
stranger,見知らぬ人,名詞,Poverty is a stranger to industry.,稼ぎに追いつく貧乏なし。
street,道；通り,名詞,Is the Ginza the busiest street in Japan?,銀座が日本でいちばんにぎやかな通りなのですか。
strike,打つ；殴る,動詞,I have a good mind to strike you for being so rude.,君がとても失礼だから、殴ってやりたいよ。
strong,強い；力強い,形容詞,Flying against a strong wind is very difficult.,強風に逆らって飛ぶのは大変なことだ。
strongly,強く,副詞,Mariko's parents are strongly opposed to her marrying an American.,マリコの両親は、彼女がアメリカ人と結婚することに強く反対している。
student,学生,名詞,"Your son took part in the student movement, I hear.",君の息子さん学生運動に加わってたそうだね。
study,勉強する,動詞,I'd like to study in Paris.,パリで勉強したい。
stuff,物,名詞,"If you stuff the box too full, the bottom will fall out.",その箱にそんなに詰めると底が抜けるよ。
stupid,ばか；頭が悪い,形容詞,My parents keep arguing about stupid things. It's so annoying!,両親がくだらないことで言い争っていて、とてもいらいらするよ。
subject,主語,名詞,What subject do you think he is interested in?,君は彼がどの学科に興味を持っていると思いますか。
such,そのような；とても～な,限定詞,A Japanese would never do such a thing.,日本人ならそんなことはけっしてしないでしょう。
sudden,突然の,形容詞,A sudden illness prevented him from going there.,急病のために彼はそこへ行くことができなかった。
suddenly,突然に,副詞,"To our surprise, our son has suddenly shot up recently.",驚いたことに息子は最近すくすく背がのびてきた。
suggest,提案する,動詞,I suggest that you see Mr White.,ホワイト氏にあってみてはいかがですか。
suggestion,提案,名詞,Your suggestion came up at the meeting.,君の提言が会合の席で話題にのぼったよ。
suitable,適した；ふさわしい,形容詞,You are suitable for the job.,君はこの仕事にふさわしい。
summer,夏,名詞,"During summer breaks, I ate dinner at midnight.",夏休みの間、私は夜中に夕食を食べていた。
sunday,日曜日,名詞,You must be back on Sunday at the latest.,君は遅くとも日曜日には戻ってこなければならない。
support,支える；支援する,動詞,You are now old enough to support yourself.,君はもう、自活できる年頃だ。
supporter,サポーター; 支持者,名詞,He has a wealthy supporter behind him.,彼の背後には資産家が控えている。
suppose,思う；仮定する,動詞,I suppose it's different when you think about it over the long term.,長い目で見れば違ってくると思います。
sure,確信している,形容詞,Are you sure of your facts?,君は自分が申し立てていることに自信がありますか。
surely,確かに；きっと,副詞,The day will surely come when your dream will come true.,君の夢が実現する日がきっと来るだろう。
surprise,驚かせる,動詞,It doesn't surprise me.,驚くことではないね。
surprisingly,驚くほど,副詞,The stock market was surprisingly quiet today.,株式市場は今日は驚くべき動きはなかった。
sweet,甘い,形容詞,Good night. Sweet dreams.,おやすみなさい、良い夢を！
swim,泳ぐ,動詞,Can you swim as fast as he?,君は彼と同じくらい速く泳げますか。
system,体系；システム,名詞,The educational system is in transition.,教育制度は過渡期にある。
table,テーブル,名詞,Could we have a table in the corner?,隅のテーブルがいいのですが。
tail,尾,名詞,Better to be the head of a dog than the tail of a lion.,ライオンの尾となる犬より犬の頭となるほうがいい。
take,持ち帰る,動詞,It would take forever for me to explain everything.,いつまでかかっても全部を説明するのは無理だ。
talk,話す,動詞,"I may be antisocial, but it doesn't mean I don't talk to people.",私は反社会的かもしれないけれど人と話さないわけではない。
tall,背の高い,形容詞,You are as tall as I am.,君は僕と同じ背の高さです。
tape,テープで貼る,動詞,Did you tape that concert?,君はそのコンサートをテープにとったか。
taste,味,名詞,I don't like your taste in color.,君の色に対する好みは感心しない。
tax,税,名詞,The income tax rate increases in proportion as your salary rises.,給与が増えるに比例して、所得税率もあがっていく。
teach,教える,動詞,I'll teach you how to drive a car.,君に自動車の運転法を教えてあげよう。
teacher,先生,名詞,My physics teacher doesn't care if I skip classes.,私の物理の先生は授業をサボっても気にしない。
team,チーム,名詞,Your team doesn't have a prayer to win the championship game.,君のチームには決勝戦で勝つチャンスはないよ。
tear,涙,名詞,"If he sends me any letters, I just tear them up and throw them away.",もし彼が手紙を送ってきたら、私はみな破り捨ててしまう。
telephone,電話,名詞,Could you dial for me? The telephone is too high.,代わりにダイアルしていただけませんか？電話の位置が高すぎて。
television,テレビ,名詞,Do you know how high the television tower is?,君はあのテレビ塔の高さがどれくらいあるか知っていますか。
tell,伝える;  話す,動詞,I can't tell her now. It's not that simple anymore.,もう彼女には言えないよ。そんなに単純なことではなくなってきたからね。
ten,10,数字,It would be so cool if I could speak ten languages!,10ヶ国語を話せたらどんなにかっこいいだろう！
tend,～する傾向がある,動詞,We tend to welcome only proof of what we already know.,既に知っていることを証明してくれるものしか受け入れたがらない傾向が私たちにはあるのである。
tendency,傾向,名詞,You have a tendency to talk too fast.,君には早口でしゃべる癖がある。
term,学期,名詞,I was busy studying for the term exam.,期末試験の勉強で忙しかったのです。
terrible,ひどい；恐ろしい,形容詞,A terrible fate awaited him.,恐ろしい運命が彼を待ち受けていた。
